Channel,Time (s),Voltage (V)
CHANnel1,0.012400000000000001,5.100533
CHANnel1,0.012499999999999997,5.141866
CHANnel1,0.0126,5.114399
CHANnel1,0.012700000000000003,5.146399
CHANnel1,0.012800000000000006,5.105066
CHANnel1,0.012899999999999995,5.146399
CHANnel1,0.012999999999999998,5.114399
CHANnel1,0.0131,5.183199
CHANnel1,0.013200000000000003,5.183199
CHANnel1,0.013300000000000006,5.238133
CHANnel1,0.013399999999999995,5.270133
CHANnel1,0.013499999999999998,5.201333
CHANnel1,0.013600000000000001,5.210666
CHANnel1,0.013700000000000004,5.137333
CHANnel1,0.013800000000000007,5.150933
CHANnel1,0.013899999999999996,5.1096
CHANnel1,0.013999999999999999,5.105066
CHANnel1,0.014100000000000001,5.160266
CHANnel1,0.014200000000000004,5.137333
CHANnel1,0.014300000000000007,5.183199
CHANnel1,0.014399999999999996,5.150933
CHANnel1,0.014499999999999999,5.224266
CHANnel1,0.014600000000000002,5.206133
CHANnel1,0.014700000000000005,5.160266
CHANnel1,0.014799999999999994,5.192266
CHANnel1,0.014899999999999997,5.141866
CHANnel1,0.015,5.169333
CHANnel1,0.015100000000000002,5.123466
CHANnel1,0.015200000000000005,5.160266
CHANnel1,0.015299999999999994,5.132533
CHANnel1,0.015399999999999997,5.127999
CHANnel1,0.0155,5.183199
CHANnel1,0.015600000000000003,5.132533
CHANnel1,0.015700000000000006,5.183199
CHANnel1,0.015799999999999995,5.210666
CHANnel1,0.015899999999999997,5.1648
CHANnel1,0.016,5.173866
CHANnel1,0.016100000000000003,5.215199
CHANnel1,0.016200000000000006,5.192266
CHANnel1,0.016299999999999995,5.150933
CHANnel1,0.016399999999999998,5.187733
CHANnel1,0.0165,5.096
CHANnel1,0.016600000000000004,5.100533
CHANnel1,0.016700000000000007,5.137333
CHANnel1,0.016799999999999995,5.1096
CHANnel1,0.0169,5.201333
CHANnel1,0.017,5.187733
CHANnel1,0.017100000000000004,5.251999
CHANnel1,0.017200000000000007,5.251999
CHANnel1,0.017299999999999996,5.192266
CHANnel1,0.0174,5.219733
CHANnel1,0.0175,5.118933
CHANnel1,0.017600000000000005,5.100533
CHANnel1,0.017700000000000007,5.146399
CHANnel1,0.017799999999999996,5.096
CHANnel1,0.0179,5.137333
CHANnel1,0.018000000000000002,5.160266
CHANnel1,0.018100000000000005,5.105066
CHANnel1,0.018199999999999994,5.141866
CHANnel1,0.018299999999999997,5.1096
CHANnel1,0.0184,5.132533
CHANnel1,0.018500000000000003,5.086666
CHANnel1,0.018600000000000005,5.082133
CHANnel1,0.018699999999999994,5.173866
