ConfigNumber,InputState_Heater36,InputState_Heater37,Output1,Output2,Output3,Output4
392,0.1,4.9,4.38,5.922,1.802,2.132
392,4.9,0.1,7.004,3.993,3.775,1.745
392,4.9,4.9,7.032,3.06,5.372,1.358
398,0.1,0.1,5.096,2.352,2.589,9.443
398,0.1,4.9,3.357,6.904,1.829,8.416
398,4.9,0.1,7.05,3.17,4.15,1.141
398,4.9,4.9,7.041,3.188,3.467,0.736
401,0.1,0.1,0.7792,3.75,7.078,3.385
401,0.1,4.9,2.83,0.6835,7.083,3.79
401,4.9,0.1,0.692,0.8525,5.856,9.452
401,4.9,4.9,1.628,6.799,7.001,9.379
419,0.1,0.1,3.123,5.41,1.49,3.371
419,0.1,4.9,7.05,2.868,3.309,1.214
419,4.9,0.1,2.531,1.314,0.4808,9.443
419,4.9,4.9,2.477,1.301,0.4987,9.447
422,0.1,0.1,3.077,1.086,4.603,6.749
422,0.1,4.9,3.577,6.991,4.318,0.3171
422,4.9,0.1,1.49,6.973,4.983,1.214
422,4.9,4.9,1.71,6.95,1.535,1.803
427,0.1,0.1,1.83,2.324,7.069,4.934
427,0.1,4.9,1.825,2.283,7.065,2.362
427,4.9,0.1,1.834,6.973,5.721,3.686
427,4.9,4.9,4.816,6.955,2.196,2.88
428,0.1,0.1,4.137,6.187,2.128,4.213
428,0.1,4.9,4.981,2.498,6.92,4.128
428,4.9,0.1,5.027,3.581,1.594,9.456
428,4.9,4.9,3.472,0.8571,0.6979,9.452
430,0.1,0.1,1.687,6.47,1.046,1.065
430,0.1,4.9,2.298,6.95,4.431,3.439
430,4.9,0.1,3.802,3.266,0.1776,9.425
430,4.9,4.9,3.789,2.973,5.571,7.479
431,0.1,0.1,3.701,1.616,1.915,9.452
431,0.1,4.9,3.623,1.671,1.956,9.443
431,4.9,0.1,1.298,6.585,1.865,9.447
431,4.9,4.9,1.596,2.507,0.992,9.429
442,0.1,0.1,3.11,6.932,5.404,4.772
442,0.1,4.9,6.215,5.035,3.2,3.353
442,4.9,0.1,2.591,6.927,3.666,2.524
442,4.9,4.9,7.009,4.948,3.675,4.047
446,0.1,0.1,5.642,2.242,4.214,2.213
446,0.1,4.9,6.972,0.3725,0.6389,3.155
446,4.9,0.1,6.913,1.497,4.227,0.3981
446,4.9,4.9,7.041,0.9349,1.675,4.069
447,0.1,0.1,2.165,3.339,6.888,3.146
447,0.1,4.9,2.054,2.686,4.626,9.046
447,4.9,0.1,1.527,2.996,4.06,9.348
447,4.9,4.9,2.142,6.891,1.693,9.443
452,0.1,0.1,6.775,2.073,4.404,1.15
452,0.1,4.9,6.926,1.959,4.119,4.519
452,4.9,0.1,7.0,5.25,2.915,1.195
452,4.9,4.9,6.926,2.434,2.535,3.736
456,0.1,0.1,6.445,5.771,5.214,9.006
456,0.1,4.9,2.719,5.798,7.083,5.844
456,4.9,0.1,4.105,3.81,6.902,4.659
456,4.9,4.9,4.027,3.691,6.942,4.519
458,0.1,0.1,2.1,6.982,3.766,4.916
458,0.1,4.9,2.486,4.738,4.757,7.389
458,4.9,0.1,2.486,4.404,7.069,4.087
458,4.9,4.9,5.298,2.923,7.065,2.286
470,0.1,0.1,2.651,6.859,3.598,2.911
470,0.1,4.9,3.399,6.644,2.078,2.601
470,4.9,0.1,3.178,6.754,3.39,2.457
470,4.9,4.9,3.389,2.64,7.087,1.839
471,0.1,0.1,3.403,3.792,7.083,3.303
471,0.1,4.9,3.302,6.904,2.159,1.875
471,4.9,0.1,5.77,2.343,7.06,3.722
471,4.9,4.9,3.66,2.553,7.065,3.159
478,0.1,0.1,7.037,3.983,4.933,3.686
478,0.1,4.9,2.293,6.013,2.164,7.871
478,4.9,0.1,1.586,1.991,2.847,9.42
478,4.9,4.9,5.674,2.754,2.856,9.348
479,0.1,0.1,5.619,2.745,1.06,8.492
479,0.1,4.9,6.284,4.5,3.811,8.501
479,4.9,0.1,4.587,2.457,3.571,6.254
479,4.9,4.9,5.807,1.547,2.454,2.691
481,0.1,0.1,3.802,6.941,4.811,0.5333
481,0.1,4.9,4.412,7.019,2.196,3.402
481,4.9,0.1,2.054,6.845,1.553,5.24
481,4.9,4.9,3.004,6.904,3.969,4.533
488,0.1,0.1,0.6827,3.718,1.322,6.209
488,0.1,4.9,2.224,3.773,2.544,1.551
488,4.9,0.1,0.5864,2.041,4.865,0.7992
488,4.9,4.9,0.5819,2.032,4.924,0.7811
492,0.1,0.1,3.683,2.457,3.39,7.695
492,0.1,4.9,3.66,2.599,3.25,9.24
492,4.9,0.1,6.72,5.565,3.223,9.389
492,4.9,4.9,2.192,6.95,4.273,2.7
499,0.1,0.1,0.4947,4.386,7.065,3.921
499,0.1,4.9,1.554,2.987,7.092,2.916
499,4.9,0.1,2.247,6.562,7.096,8.19
499,4.9,4.9,1.554,6.991,5.888,2.813
500,0.1,0.1,3.954,5.862,4.074,3.299
500,0.1,4.9,2.027,1.698,2.983,4.06
500,4.9,0.1,1.986,2.128,2.155,3.177
500,4.9,4.9,2.063,4.436,2.037,3.339
